pdbID,Ligand,Method,Resolution,Organism_Name,Organism_TaxID,EMDB_for_EMRelease,Pub_Title,Pub_Authors,Pub_Journal,Pub_Year,Pub_PubMed,Pub_DOI,Coord_File,EM_Map_File
4XB4,45D,X-RAY DIFFRACTION,1.544,Synechocystis sp. PCC 6803 substr. Kazusa,1111708,N/A,PHOTOSYNTHESIS. A 12 angstrom carotenoid translocation in a photoswitch associated with cyanobacterial photoprotection.,"Leverenz, R.L., Sutter, M., Wilson, A., Gupta, S., Thurotte, A., Bourcier de Carbon, C., Petzold, C.J., Ralston, C., Perreau, F., Kirilovsky, D., Kerfeld, C.A.",Science,2015,N/A,N/A,4XB4.cif,N/A
4XB5,45D,X-RAY DIFFRACTION,1.9,Synechocystis sp. PCC 6803 substr. Kazusa,1111708,N/A,PHOTOSYNTHESIS. A 12 angstrom carotenoid translocation in a photoswitch associated with cyanobacterial photoprotection.,"Leverenz, R.L., Sutter, M., Wilson, A., Gupta, S., Thurotte, A., Bourcier de Carbon, C., Petzold, C.J., Ralston, C., Perreau, F., Kirilovsky, D., Kerfeld, C.A.",Science,2015,N/A,N/A,4XB5.cif,N/A
5FCX,45D,X-RAY DIFFRACTION,3.206,Nostoc sp. PCC 7120 = FACHB-418,103690,N/A,"Structure, Diversity, and Evolution of a New Family of Soluble Carotenoid-Binding Proteins in Cyanobacteria.","Melnicki, M.R., Leverenz, R.L., Sutter, M., Lopez-Igual, R., Wilson, A., Pawlowski, E.G., Perreau, F., Kirilovsky, D., Kerfeld, C.A.",Mol Plant,2016,N/A,N/A,5FCX.cif,N/A
5HGR,45D,X-RAY DIFFRACTION,1.681,Nostoc sp. PCC 7120 = FACHB-418,103690,N/A,Different Functions of the Paralogs to the N-Terminal Domain of the Orange Carotenoid Protein in the Cyanobacterium Anabaena sp. PCC 7120.,"Lopez-Igual, R., Wilson, A., Leverenz, R.L., Melnicki, M.R., Bourcier de Carbon, C., Sutter, M., Turmo, A., Perreau, F., Kerfeld, C.A., Kirilovsky, D.",Plant Physiol.,2016,N/A,N/A,5HGR.cif,N/A
5OY0,45D,X-RAY DIFFRACTION,2.501,Synechocystis sp. PCC 6803,1148,N/A,Structure and function of wild-type and subunit-depleted photosystem I in Synechocystis.,"Malavath, T., Caspy, I., Netzer-El, S.Y., Klaiman, D., Nelson, N.",Biochim. Biophys. Acta,2018,N/A,N/A,5OY0.cif,N/A
6HQB,45D,X-RAY DIFFRACTION,4.0,Synechocystis sp. PCC 6803 substr. Kazusa,1111708,N/A,Crystal Structure of Photosystem I Monomer From Synechocystis PCC 6803.,"Netzer-El, S.Y., Caspy, I., Nelson, N.",Front Plant Sci,2018,N/A,N/A,6HQB.cif,N/A
6MCJ,45D,X-RAY DIFFRACTION,1.712,Tolypothrix sp. PCC 7601,1188,N/A,Structural and spectroscopic characterization of HCP2.,"Dominguez-Martin, M.A., Polivka, T., Sutter, M., Ferlez, B., Lechno-Yossef, S., Montgomery, B.L., Kerfeld, C.A.",Biochim Biophys Acta Bioenerg,2019,N/A,N/A,6MCJ.cif,N/A
6PQ1,45D,X-RAY DIFFRACTION,1.61,Tolypothrix sp. PCC 7601,1188,N/A,Comparative ultrafast spectroscopy and structural analysis of OCP1 and OCP2 from Tolypothrix.,"Kuznetsova, V., Dominguez-Martin, M.A., Bao, H., Gupta, S., Sutter, M., Kloz, M., Rebarz, M., Precek, M., Chen, Y., Petzold, C.J., Ralston, C.Y., Kerfeld, C.A., Polivka, T.",Biochim Biophys Acta Bioenerg,2020,N/A,N/A,6PQ1.cif,N/A
7EKR,45D,X-RAY DIFFRACTION,2.17,Gloeocapsa sp. PCC 7513,2778207,N/A,Color-Tuning Mechanism of the Lit Form of Orange Carotenoid Protein.,"Han, M.H., Yang, H.W., Yoon, J., Villafani, Y., Song, J.Y., Pan, C.H., Park, K., Cho, Y., Song, J.J., Kim, S.J., Park, Y.I., Park, J.",Mol.Cells,2023,N/A,N/A,7EKR.cif,N/A
7QCZ,45D,X-RAY DIFFRACTION,1.85,Planktothrix agardhii,1160,N/A,Structure-function-dynamics relationships in the peculiar Planktothrix PCC7805 OCP1: Impact of his-tagging and carotenoid type.,"Wilson, A., Andreeva, E.A., Nizinski, S.J., Talbot, L., Hartmann, E., Schlichting, I., Burdzinski, G., Sliwa, M., Kirilovsky, D., Colletier, J.P.",Biochim Biophys Acta Bioenerg,2022,N/A,N/A,7QCZ.cif,N/A
7QD2,45D,X-RAY DIFFRACTION,1.4,Planktothrix agardhii,1160,N/A,Structure-function-dynamics relationships in the peculiar Planktothrix PCC7805 OCP1: Impact of his-tagging and carotenoid type.,"Wilson, A., Andreeva, E.A., Nizinski, S.J., Talbot, L., Hartmann, E., Schlichting, I., Burdzinski, G., Sliwa, M., Kirilovsky, D., Colletier, J.P.",Biochim Biophys Acta Bioenerg,2022,N/A,N/A,7QD2.cif,N/A
7SC9,45D,ELECTRON MICROSCOPY,2.6,Synechocystis sp. PCC 6803 substr. Kazusa,1111708,EMD-25030,Structures of a phycobilisome in light-harvesting and photoprotected states.,"Dominguez-Martin, M.A., Sauer, P.V., Kirst, H., Sutter, M., Bina, D., Greber, B.J., Nogales, E., Polivka, T., Kerfeld, C.A.",Nature,2022,N/A,N/A,7SC9.cif,emd_25030.map.gz
7SCB,45D,ELECTRON MICROSCOPY,2.5,Synechocystis sp. PCC 6803 substr. Kazusa,1111708,EMD-25032,Structures of a phycobilisome in light-harvesting and photoprotected states.,"Dominguez-Martin, M.A., Sauer, P.V., Kirst, H., Sutter, M., Bina, D., Greber, B.J., Nogales, E., Polivka, T., Kerfeld, C.A.",Nature,2022,N/A,N/A,7SCB.cif,emd_25032.map.gz
7SCC,45D,ELECTRON MICROSCOPY,2.6,Synechocystis sp. PCC 6803 substr. Kazusa,1111708,EMD-25033,Structures of a phycobilisome in light-harvesting and photoprotected states.,"Dominguez-Martin, M.A., Sauer, P.V., Kirst, H., Sutter, M., Bina, D., Greber, B.J., Nogales, E., Polivka, T., Kerfeld, C.A.",Nature,2022,N/A,N/A,7SCC.cif,emd_25033.map.gz
7YTF,45D,X-RAY DIFFRACTION,2.65,Nostoc flagelliforme CCNUN1,2038116,N/A,Functional specialization of expanded orange carotenoid protein paralogs in subaerial Nostoc species.,"Yang, Y.W., Liu, K., Huang, D., Yu, C., Chen, S.Z., Chen, M., Qiu, B.S.",Plant Physiol.,2023,N/A,N/A,7YTF.cif,N/A
7ZSF,45D,X-RAY DIFFRACTION,1.36,Synechocystis,1142,N/A,Light activation of Orange Carotenoid Protein reveals bicycle-pedal single-bond isomerization.,"Chukhutsina, V.U., Baxter, J.M., Fadini, A., Morgan, R.M., Pope, M.A., Maghlaoui, K., Orr, C.M., Wagner, A., van Thor, J.J.",Nat Commun,2022,N/A,N/A,7ZSF.cif,N/A
7ZSG,45D,X-RAY DIFFRACTION,1.39,Synechocystis,1142,N/A,Light activation of Orange Carotenoid Protein reveals bicycle-pedal single-bond isomerization.,"Chukhutsina, V.U., Baxter, J.M., Fadini, A., Morgan, R.M., Pope, M.A., Maghlaoui, K., Orr, C.M., Wagner, A., van Thor, J.J.",Nat Commun,2022,N/A,N/A,7ZSG.cif,N/A
7ZSH,45D,X-RAY DIFFRACTION,1.42,Synechocystis,1142,N/A,Light activation of Orange Carotenoid Protein reveals bicycle-pedal single-bond isomerization.,"Chukhutsina, V.U., Baxter, J.M., Fadini, A., Morgan, R.M., Pope, M.A., Maghlaoui, K., Orr, C.M., Wagner, A., van Thor, J.J.",Nat Commun,2022,N/A,N/A,7ZSH.cif,N/A
7ZSI,45D,X-RAY DIFFRACTION,1.399,Synechocystis,1142,N/A,Light activation of Orange Carotenoid Protein reveals bicycle-pedal single-bond isomerization.,"Chukhutsina, V.U., Baxter, J.M., Fadini, A., Morgan, R.M., Pope, M.A., Maghlaoui, K., Orr, C.M., Wagner, A., van Thor, J.J.",Nat Commun,2022,N/A,N/A,7ZSI.cif,N/A
7ZSJ,45D,X-RAY DIFFRACTION,1.41,Synechocystis,1142,N/A,Light activation of Orange Carotenoid Protein reveals bicycle-pedal single-bond isomerization.,"Chukhutsina, V.U., Baxter, J.M., Fadini, A., Morgan, R.M., Pope, M.A., Maghlaoui, K., Orr, C.M., Wagner, A., van Thor, J.J.",Nat Commun,2022,N/A,N/A,7ZSJ.cif,N/A
7ZXV,45D,X-RAY DIFFRACTION,1.8,Synechocystis sp. PCC 6803,1148,N/A,Parameterization of a single H-bond in Orange Carotenoid Protein by atomic mutation reveals principles of evolutionary design of complex chemical photosystems.,"Moldenhauer, M., Tseng, H.W., Kraskov, A., Tavraz, N.N., Yaroshevich, I.A., Hildebrandt, P., Sluchanko, N.N., Hochberg, G.A., Essen, L.O., Budisa, N., Korf, L., Maksimov, E.G., Friedrich, T.",Front Mol Biosci,2023,N/A,N/A,7ZXV.cif,N/A
8AM5,45D,ELECTRON MICROSCOPY,3.1,Synechocystis sp. PCC 6803,1148,EMD-15522,The Ycf48 accessory factor occupies the site of the oxygen-evolving manganese cluster during photosystem II biogenesis.,"Zhao, Z., Vercellino, I., Knoppova, J., Sobotka, R., Murray, J.W., Nixon, P.J., Sazanov, L.A., Komenda, J.",Nat Commun,2023,N/A,N/A,8AM5.cif,emd_15522.map.gz
8ASL,45D,ELECTRON MICROSCOPY,3.15,Synechocystis sp. PCC 6803,1148,EMD-15618,The Ycf48 accessory factor occupies the site of the oxygen-evolving manganese cluster during photosystem II biogenesis.,"Zhao, Z., Vercellino, I., Knoppova, J., Sobotka, R., Murray, J.W., Nixon, P.J., Sazanov, L.A., Komenda, J.",Nat Commun,2023,N/A,N/A,8ASL.cif,emd_15618.map.gz
8ASP,45D,ELECTRON MICROSCOPY,2.9,Synechocystis sp. PCC 6803,1148,EMD-15621,The Ycf48 accessory factor occupies the site of the oxygen-evolving manganese cluster during photosystem II biogenesis.,"Zhao, Z., Vercellino, I., Knoppova, J., Sobotka, R., Murray, J.W., Nixon, P.J., Sazanov, L.A., Komenda, J.",Nat Commun,2023,N/A,N/A,8ASP.cif,emd_15621.map.gz
8QX5,45D,X-RAY DIFFRACTION,1.9,Cyanobacteriota,1117,N/A,Insights into energy quenching mechanisms and carotenoid uptake by orange carotenoid protein homologs: HCP4 and CTDH.,"Sklyar, J., Wilson, A., Kirilovsky, D., Adir, N.",Int.J.Biol.Macromol.,2024,N/A,N/A,8QX5.cif,N/A
